,index,fold,model,overfit,task,test,tool,train,val,seed
155,155,0,best_ensemble_model,0.0,Australian,0.9151103565365024,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.878743961352657,inf,0
156,156,1,best_ensemble_model,0.0,Australian,0.8476230899830219,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8844202898550724,inf,0
157,157,2,best_ensemble_model,0.0,Australian,0.8404074702886248,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8828933747412009,inf,0
158,158,3,best_ensemble_model,0.0,Australian,0.8624787775891339,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8990683229813665,inf,0
159,159,4,best_ensemble_model,0.0,Australian,0.866723259762309,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.920807453416149,inf,0
160,160,0,best_ensemble_model,0.0,MiniBooNE,0.9377837996899252,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9400204309414772,inf,0
161,161,1,best_ensemble_model,0.0,MiniBooNE,0.9373010609594166,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9402750608513466,inf,0
162,162,2,best_ensemble_model,0.0,MiniBooNE,0.9378567067948544,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9396389904181016,inf,0
163,163,3,best_ensemble_model,0.0,MiniBooNE,0.9432419652124772,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9392896888647452,inf,0
164,164,4,best_ensemble_model,0.0,MiniBooNE,0.9411504490741526,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9391243285814556,inf,0
165,165,0,best_ensemble_model,0.0,adult,0.8483731828976216,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8454375572392765,inf,0
166,166,1,best_ensemble_model,0.0,adult,0.8361475956283649,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8448606095475467,inf,0
167,167,2,best_ensemble_model,0.0,adult,0.8470318098706814,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8423062818046183,inf,0
168,168,3,best_ensemble_model,0.0,adult,0.8447932487429406,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8451324505094647,inf,0
169,169,4,best_ensemble_model,0.0,adult,0.8391793355648289,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8464292828107178,inf,0
170,170,0,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9540644540644542,inf,0
171,171,1,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9591149591149593,inf,0
172,172,2,best_ensemble_model,0.0,cnae-9,0.9537037037037036,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.964165464165464,inf,0
173,173,3,best_ensemble_model,0.0,cnae-9,0.9166666666666666,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9692159692159692,inf,0
174,174,4,best_ensemble_model,0.0,cnae-9,0.9629629629629628,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9694564694564692,inf,0
175,175,0,best_ensemble_model,0.0,connect-4,0.7549894356424691,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7466847848884535,inf,0
176,176,1,best_ensemble_model,0.0,connect-4,0.7591912835084546,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7483671446552069,inf,0
177,177,2,best_ensemble_model,0.0,connect-4,0.7675921540243368,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7453883953912017,inf,0
178,178,3,best_ensemble_model,0.0,connect-4,0.7538421177053962,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7472765077573666,inf,0
179,179,4,best_ensemble_model,0.0,connect-4,0.730414056109374,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7322003725244688,inf,0
180,180,0,best_ensemble_model,0.0,higgs,0.7311546491194456,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7338053394811053,inf,0
181,181,1,best_ensemble_model,0.0,higgs,0.7175845304880294,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7366314562942684,inf,0
182,182,2,best_ensemble_model,0.0,higgs,0.7321324677269769,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7312669227780205,inf,0
183,183,3,best_ensemble_model,0.0,higgs,0.7279893834593723,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7326885836492554,inf,0
184,184,4,best_ensemble_model,0.0,higgs,0.7331552040827145,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.7311098835367252,inf,0
185,185,0,best_ensemble_model,0.0,kr-vs-kp,0.9937380141677428,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9956084903417294,inf,0
186,186,1,best_ensemble_model,0.0,kr-vs-kp,0.9850299401197604,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9964147580129822,inf,0
187,187,2,best_ensemble_model,0.0,kr-vs-kp,0.9934640522875816,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9935529186599088,inf,0
188,188,3,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9932930434000332,inf,0
189,189,4,best_ensemble_model,0.0,kr-vs-kp,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9940726691796592,inf,0
190,190,0,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.985633575464084,inf,0
191,191,1,best_ensemble_model,0.0,segment,0.9826839826839828,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9844476511143178,inf,0
192,192,2,best_ensemble_model,0.0,segment,0.9826839826839828,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9847683181016514,inf,0
193,193,3,best_ensemble_model,0.0,segment,0.9913419913419912,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9844476511143178,inf,0
194,194,4,best_ensemble_model,0.0,segment,1.0,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.9839666506333172,inf,0
195,195,0,best_ensemble_model,0.0,vehicle,0.8593073593073594,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8216730402876323,inf,0
196,196,1,best_ensemble_model,0.0,vehicle,0.7780844155844155,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8434182411156095,inf,0
197,197,2,best_ensemble_model,0.0,vehicle,0.7094155844155845,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8202314239342126,inf,0
198,198,3,best_ensemble_model,0.0,vehicle,0.8014069264069263,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8700714125056229,inf,0
199,199,4,best_ensemble_model,0.0,vehicle,0.8133116883116883,autosklearnHyperBandFolds_eta2_cv5_repeats3,0.8498369320737742,inf,0
200,200,0,best_ensemble_model,0.0,Albert,0.6752422161602861,autosklearnHyperBandFolds_eta3_cv5_repeats1,0.677401233277592,inf,0
201,201,1,best_ensemble_model,0.0,Albert,0.6754068290847521,autosklearnHyperBandFolds_eta3_cv5_repeats1,0.6779238085284279,inf,0
