,tool,model,task,fold_foldmean,overfit_seedmean_foldmean,seed_seedmean_foldmean,test_seedmean_foldmean,train_seedmean_foldmean,val_seedmean_foldmean
152,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
153,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,adult,2.0,0.0,127.0,0.8431682164972655,0.8434336365974469,inf
154,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,cnae-9,2.0,0.0,127.0,0.937037037037037,0.9572016460905349,inf
155,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,connect-4,2.0,0.0,127.0,0.6833373509039125,0.6757387064487472,inf
156,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,higgs,2.0,0.0,127.0,0.7333641050071293,0.7288054676605251,inf
157,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,kr-vs-kp,2.0,0.0,127.0,0.9974192790888811,0.996477593194518,inf
158,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,segment,2.0,0.0,127.0,0.9899567099567099,0.9856854256854257,inf
159,autosklearnBBCEnsembleSelection_es1_B50_N0.5,best_ensemble_model,vehicle,2.0,0.0,127.0,0.844616883116883,0.8534894477751411,inf
160,autosklearnBBCScoreEnsembleAVGMDEV_es1_B100_N1.0,best_ensemble_model,Albert,3.0,0.0,127.0,0.6538660521117486,0.6522896002954323,inf
161,autosklearnBBCScoreEnsembleAVGMDEV_es1_B100_N1.0,best_ensemble_model,Australian,2.0,0.0,127.0,0.8441086587436333,0.8816086956521738,inf
162,autosklearnBBCScoreEnsembleAVGMDEV_es1_B100_N1.0,best_ensemble_model,MiniBooNE,2.0,0.0,127.0,0.9278907619228576,0.9293096679398133,inf
