,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
13,test_performance_singlemodelFalse,False,0.9937185929648241,MLPClassifier,3,1,5,2,68,0.9924652759344273
13,test_performance_singlemodelFalse,False,0.9949851877887126,MLPClassifier,3,1,5,2,82,0.9933111581156274
13,test_performance_singlemodelFalse,False,0.9950213059280612,MLPClassifier,3,1,5,2,10,0.9911423343901451
13,test_performance_singlemodelFalse,False,0.9962468671679198,MLPClassifier,3,1,5,2,24,0.991920225810283
14,test_performance_singlemodelFalse,False,0.5810206598828246,EnsembleSelection,10101,1,5,2,80,0.675990675990676
14,test_performance_singlemodelFalse,False,0.6092331768388106,EnsembleSelection,10101,1,5,2,98,0.6651148900288104
14,test_performance_singlemodelFalse,False,0.6407374100719425,EnsembleSelection,10101,1,5,2,49,0.6324736748170623
14,test_performance_singlemodelFalse,False,0.653062678062678,EnsembleSelection,10101,1,5,2,97,0.6191297208538589
14,test_performance_singlemodelFalse,False,0.6779216774591428,EnsembleSelection,10101,1,5,2,5,0.6241258741258742
14,test_performance_singlemodelFalse,False,0.7814484126984127,EnsembleSelection,53,1,5,2,59,0.8159996315940932
14,test_performance_singlemodelFalse,False,0.7949454692531381,EnsembleSelection,53,1,5,2,17,0.7994362562699325
14,test_performance_singlemodelFalse,False,0.8002480730960382,EnsembleSelection,7592,1,5,2,31,0.8025475683114467
14,test_performance_singlemodelFalse,False,0.80090467670871,EnsembleSelection,7592,1,5,2,13,0.8061470779015596
14,test_performance_singlemodelFalse,False,0.8012350189948678,EnsembleSelection,7592,1,5,2,97,0.8007614423428255
14,test_performance_singlemodelFalse,False,0.8059761518813242,EnsembleSelection,53,1,5,2,12,0.8022133496748907
14,test_performance_singlemodelFalse,False,0.807838890445856,EnsembleSelection,7592,1,5,2,34,0.8016744013492185
14,test_performance_singlemodelFalse,False,0.8086259323346986,EnsembleSelection,7592,1,5,2,1,0.8013895625967211
14,test_performance_singlemodelFalse,False,0.8107219850473641,EnsembleSelection,53,1,5,2,95,0.7899756591678762
14,test_performance_singlemodelFalse,False,0.8423157871324872,EnsembleSelection,53,1,5,2,46,0.7957170925461061
14,test_performance_singlemodelFalse,False,0.8615127175368139,EnsembleSelection,146818,1,5,2,8,0.8655610068259385
14,test_performance_singlemodelFalse,False,0.8879920702350609,EnsembleSelection,146818,1,5,2,47,0.8590715015936016
14,test_performance_singlemodelFalse,False,0.8971102150537634,EnsembleSelection,146818,1,5,2,78,0.8573902476074737
14,test_performance_singlemodelFalse,False,0.8998899889988998,EnsembleSelection,146818,1,5,2,90,0.8627659574468085
14,test_performance_singlemodelFalse,False,0.913525795241914,EnsembleSelection,146818,1,5,2,32,0.8464901553136848
14,test_performance_singlemodelFalse,False,0.9647854398619586,EnsembleSelection,146822,1,5,2,17,0.9785543732459246
14,test_performance_singlemodelFalse,False,0.9715686026727645,EnsembleSelection,146822,1,5,2,55,0.9784054545489059
14,test_performance_singlemodelFalse,False,0.9728188676061801,EnsembleSelection,146822,1,5,2,78,0.9729843457097244
14,test_performance_singlemodelFalse,False,0.97930900621118,EnsembleSelection,146822,1,5,2,67,0.9702573520282208
14,test_performance_singlemodelFalse,False,0.979842549923195,EnsembleSelection,146822,1,5,2,25,0.9726728670979293
14,test_performance_singlemodelFalse,False,0.992353752586369,EnsembleSelection,3,1,5,2,93,0.993265710085975
14,test_performance_singlemodelFalse,False,0.9924717101718067,EnsembleSelection,3,1,5,2,68,0.9954682684489499
14,test_performance_singlemodelFalse,False,0.9936797047599919,EnsembleSelection,3,1,5,2,82,0.9954204315237835
14,test_performance_singlemodelFalse,False,0.9937468671679197,EnsembleSelection,3,1,5,2,24,0.9927575823208434
14,test_performance_singlemodelFalse,False,0.9950213059280612,EnsembleSelection,3,1,5,2,10,0.9936531934803559
15,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,1,5,2,49,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,1,5,2,5,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,1,5,2,80,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,1,5,2,97,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,10101,1,5,2,98,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,1,5,2,32,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,1,5,2,47,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,1,5,2,78,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,1,5,2,8,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146818,1,5,2,90,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,5,2,17,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,5,2,25,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,5,2,55,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,5,2,67,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,146822,1,5,2,78,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,3,1,5,2,10,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,3,1,5,2,24,
