,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
42,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,2,0.9537040000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:18:01,3615.7,0,1323110732,,0.9537040000000001
42,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,2,0.7643576081,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7643576081
43,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,3,0.9444440000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:19,3611.8,0,3056155690,,0.9444440000000001
43,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,3,0.6582297217,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.6582297217
44,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,4,0.9629629999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:19,3617.2,0,857246165,,0.9629629999999999
44,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,4,0.7892243931,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7892243931
45,openml.org/t/9981,cnae-9,AutoPyTorch_refactor,3600s8c32G,5,0.9537040000000001,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T17:16:30,3615.1,0,2648172266,,0.9537040000000001
45,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,5,0.6582297217,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.6582297217
46,openml.org/t/XX,cnae-9,AutoPyTorch_refactor,3600s8c32G,6,0.9351851851999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9351851851999999
46,openml.org/t/XX,connect-4,AutoPyTorch_refactor,3600s8c32G,6,0.7264653641,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.7264653641
