,hue,performance,model,dataset_name,stack
259,val_performance_singlemodelTrue,0.661978221415608,RandomForestClassifier,31,9
260,val_performance_singlemodelTrue,0.6468794111716072,RandomForestClassifier,31,10
261,val_performance_singlemodelTrue,0.6585249042145594,RandomForestClassifier,31,11
262,val_performance_singlemodelTrue,0.639216575922565,RandomForestClassifier,31,12
263,val_performance_singlemodelTrue,0.6471566848154869,RandomForestClassifier,31,13
264,val_performance_singlemodelTrue,0.6531810848961485,RandomForestClassifier,31,14
265,val_performance_singlemodelTrue,0.6596339987900787,RandomForestClassifier,31,15
266,val_performance_singlemodelTrue,0.6408550110909458,RandomForestClassifier,31,16
267,val_performance_singlemodelTrue,0.6678513813268804,RandomForestClassifier,31,17
268,val_performance_singlemodelTrue,0.6574410163339384,RandomForestClassifier,31,18
269,val_performance_singlemodelTrue,0.6495009074410163,RandomForestClassifier,31,19
270,val_performance_singlemodelTrue,0.6452409760032265,RandomForestClassifier,31,20
271,val_performance_singlemodelTrue,0.6382587215164348,RandomForestClassifier,31,21
272,val_performance_singlemodelTrue,0.641964105666465,RandomForestClassifier,31,22
273,val_performance_singlemodelTrue,0.6713046985279291,RandomForestClassifier,31,23
274,val_performance_singlemodelTrue,0.6459215567654769,RandomForestClassifier,31,24
275,val_performance_singlemodelTrue,0.679093567251462,RandomForestClassifier,31,25
276,val_performance_singlemodelTrue,0.6678765880217785,RandomForestClassifier,31,26
277,val_performance_singlemodelTrue,0.6520971970155274,RandomForestClassifier,31,27
278,val_performance_singlemodelTrue,0.6507360354910264,RandomForestClassifier,31,28
279,val_performance_singlemodelTrue,0.6659356725146198,RandomForestClassifier,31,29
280,val_performance_singlemodelTrue,0.6638939302278686,RandomForestClassifier,31,30
281,val_performance_singlemodelTrue,0.6712794918330308,RandomForestClassifier,31,31
282,val_performance_singlemodelTrue,0.6785642266586005,RandomForestClassifier,31,32
283,val_performance_singlemodelTrue,0.6553992740471869,RandomForestClassifier,31,33
284,val_performance_singlemodelTrue,0.6701956039524097,RandomForestClassifier,31,34
285,val_performance_singlemodelTrue,0.663213349465618,RandomForestClassifier,31,35
286,val_performance_singlemodelTrue,0.6648517846339987,RandomForestClassifier,31,36
287,val_performance_singlemodelTrue,0.6674480742085098,RandomForestClassifier,31,37
288,val_performance_singlemodelTrue,0.6681286549707602,RandomForestClassifier,31,38
289,val_performance_singlemodelTrue,0.6588273845533373,RandomForestClassifier,31,39
290,val_performance_singlemodelTrue,0.6541641459971769,RandomForestClassifier,31,40
